processed_tweets,class,neutralized_tweets
rt bitches would cheat on a nigga that give her everything she ask for and be loyal to shawty smh bitches ain t shit,1,rt person would cheat on a person that give her everything she ask for and be loyal to shawty smh person ain t stuff
about to be officially an old ass bitch,1,about to be officially an old person person
rt call my son nigger even respectable white ppl will be uncomfortable w you call him thug you probably can get off w,1,rt call my son nigger even respectable white ppl will be uncomfortable w you call him thug you probably can get off w
we can t trust these hoes fam,1,we can t trust these people fam
i m not delivering to that bitch boy anymore,1,i m not delivering to that person boy anymore
snow day bitches lyrics gettin done n bud getting smoked snowday,1,snow day person lyrics gettin done n bud getting smoked snowday
done everything but trust these hoes,1,done everything but trust these people
i m dumb then a hoe haha i already lost that thing ya gave me today,1,i m dumb then a people haha i already lost that thing ya gave me today
i m bout to hop off this hoe they tryna get on my ass,1,i m bout to hop off this people they tryna get on my person
bitch,1,person
i d have to go off on a bitch,1,i d have to go off on a person
i m so excited to hang out with my bitches,1,i m so excited to hang out with my person
leo get the fuck off of vine you fag,0,leo get the messing around off of vine you person
thick raw fuck damn his man pussy is getting a workout,1,thick raw messing around damn his man pussy is getting a workout
i hate a nosey bitch like mind yah business,1,i hate a nosey person like mind yah business
bitch i might be aesthetic,1,person i might be aesthetic
rt this vine still funny as shit to me how many niggers are in my store,0,rt this vine still funny as stuff to me how many niggers are in my store
rt somewhere out there a redneck is jerking off with a hand he ll lose in a firework accident tomorrow,1,rt somewhere out there a redneck is jerking off with a hand he ll lose in a firework accident tomorrow
on my way to fuck your bitch in the name of the lord mr race,0,on my way to messing around your person in the name of the lord mr race
xbox live fags,1,xbox live fags
they played a great job who s the retard now,1,they played a great job who s the retard now
rt gotta keep these hoes on point,1,rt gotta keep these people on point
sup nappy headed hoe you got quiet,1,sup nappy headed people you got quiet
what up fake ass hoe i m not gone fought you today gimme my nigga hand back,1,what up fake person people i m not gone fought you today gimme my person hand back
never tell a bitch what u up to,1,never tell a person what u up to
rt my pussy is totes adorbs when she jumps on my bed with litter stuck to her the cat is fucking annoying when she does it,1,rt my pussy is totes adorbs when she jumps on my bed with litter stuck to her the cat is messing around annoying when she does it
this uncle tom mother fucking wants to invoke a man in his speech dude you ain t white no matter how much,1,this disrespectful person mother messing around wants to invoke a man in his speech dude you ain t white no matter how much
these hoes ain t loyal rt man thats the realest shirt i seen tonight a chick with a flip phone robbed me,1,these people ain t loyal rt man thats the realest shirt i seen tonight a chick with a flip phone robbed me
rt when you re trying to relax but your pussy is shooting out light beams,1,rt when you re trying to relax but your pussy is shooting out light beams
gimme another beer bitch,1,gimme another beer person
i m not weird you re just a faggot,0,i m not weird you re just a person
rt slow rap voice that bitch can suck my dick faster rapping voice that bitch can suck my dick,1,rt slow rap voice that person can suck my dick faster rapping voice that person can suck my dick
your a queer,1,your a queer
if i see another bitch with a rolly bag ima diesel that bitch,1,if i see another person with a rolly bag ima diesel that person
rt good girls take months before they move on only hoes jump from nigga to nigga don t argue with me this is scien,1,rt good girls take months before they move on only people jump from person to person don t argue with me this is scien
nannie bitch don t talk to that hoe with ha extra bs ass,1,nannie person don t talk to that people with ha extra bs person
rt you ve been doing too much math homework hoe,1,rt you ve been doing too much math homework people
fuck these hoes im gone,1,messing around these people im gone
rt a boy won the scripps spelling bee by spelling knaidel used in a sentence i ll never get any pussy because i know how to,1,rt a boy won the scripps spelling bee by spelling knaidel used in a sentence i ll never get any pussy because i know how to
lol avila it s simple but i live in a pretty redneck area so it never gets pronounced correctly,1,lol avila it s simple but i live in a pretty redneck area so it never gets pronounced correctly
rt i m that type of bitch to tell you i m on my way knowing i just got in the shower,1,rt i m that type of person to tell you i m on my way knowing i just got in the shower
rt awe hell nah me and are bad bitches come fuck with us,1,rt awe hell nah me and are bad person come messing around with us
rt philly full of these type hoes broke bitches,1,rt philly full of these type people broke person
so much hoes,1,so much people
home fag didn t feel like puttin up with your shit today,1,home person didn t feel like puttin up with your stuff today
i know righttt rt i hate fat loud bitches,0,i know righttt rt i hate fat loud person
lmao did u really just call me a hoe lol yeah you hoe,1,lmao did u really just call me a people lol yeah you people
rt lmfao hicks,1,rt lmfao hicks
all of yall stfu your all pussies and won t do shit,1,all of yall stfu your all pussies and won t do stuff
rt if there was an invisible celestial judge who killed those who spew hate on palestinians celebrities amp politicians would,1,rt if there was an invisible celestial judge who killed those who spew hate on palestinians celebrities amp politicians would
rt fat bitches dont like liftin up they arms in the summer all that dampness cuh,1,rt fat person dont like liftin up they arms in the summer all that dampness cuh
we re a good match cuz we both retarded n weed,1,we re a good match cuz we both retarded n weed
rt i bet its higher than that rt why do you think all women are hoes not all of us are hoes,1,rt i bet its higher than that rt why do you think all women are people not all of us are people
under in miami is a keeper not hard to find them hoes just like to brain wrestle,1,under in miami is a keeper not hard to find them people just like to brain wrestle
george michael such a fag,0,george michael such a person
ion care who my niggas date b if the bitch make you happy and you cool with her then do you,1,ion care who my person date b if the person make you happy and you cool with her then do you
rt i know it was that dana whore if i get rid of them rn will you donate one to me that bitch,1,rt i know it was that dana whore if i get rid of them rn will you donate one to me that person
bouta let banko kno i m goin be a ronneagle bitch,1,bouta let banko kno i m goin be a ronneagle person
why are teabaggers so interested in saving people who are muslim does syria have oil morningjoe,1,why are teabaggers so interested in saving people who are muslim does syria have oil morningjoe
don t give ah fuck about ah bitch or ah nigga,1,don t give ah messing around about ah person or ah person
i m a bitch nigga that hurts my feelings and i m like so serious,1,i m a person person that hurts my feelings and i m like so serious
lmao let s hangout this weekend hoe,1,lmao let s hangout this weekend people
rt okay now i m going to krispy kreme for real fat bitch this nigga trying,1,rt okay now i m going to krispy kreme for real fat person this person trying
rt the only girls that care about being a guys wcw are hoes,1,rt the only girls that care about being a guys wcw are people
rt based on my starbucks drink choices i admit that i am in fact a basic bitch,1,rt based on my starbucks drink choices i admit that i am in fact a basic person
you real quiet son made charlie is shit and steelers too loser,1,you real quiet son made charlie is stuff and steelers too loser
im tired of seeing this disturbing bitch with tits,1,im tired of seeing this disturbing person with tits
i laugh at this bitch,1,i laugh at this person
bitch u bs how fck yah,1,person u bs how fck yah
he said that bitch look like a praying mantis tho ctfu,1,he said that person look like a praying mantis tho ctfu
ion like the ho cause she talk to mf much with ha real butt ugly ass dumb young ass ho,1,ion like the ho cause she talk to mf much with ha real butt ugly person dumb young person ho
got one bitch in economy and one bitch back in coach,1,got one person in economy and one person back in coach
im a rich niggaaaaa i need a rich bitch,1,im a rich niggaaaaa i need a rich person
i ve decided that bullsnation are retarded love,1,i ve decided that bullsnation are retarded love
this world needs a build a bitch workshop,1,this world needs a build a person workshop
rt pick one the girl behind the bar who ain t being a hoe,1,rt pick one the girl behind the bar who ain t being a people
don t pay dem bitches and they dirty ass chucks no mind bro,1,don t pay dem person and they dirty person chucks no mind bro
remember can be a bitch stop to drink if you get stalled wib advice,1,remember can be a person stop to drink if you get stalled wib advice
beans u beaner,0,beans u beaner
lol my porn name is master licker wtf y i gotta have dat bitch ass name,1,lol my porn name is master licker what y i gotta have dat person person name
rt im a faggot,1,rt im a person
i trusted you queer cakes wheres the passion she made me do it dammit,1,i trusted you queer cakes wheres the passion she made me do it dammit
this bitch literally just said normal people shouldn t work out in this gym because so many body builders workout here,1,this person literally just said normal people shouldn t work out in this gym because so many body builders workout here
fuck the church you attend fuck your god fuck the nigguh you call the savior it s a fucking new world order baby,1,messing around the church you attend messing around your god messing around the nigguh you call the savior it s a messing around new world order baby
you lucky ashit if you got the shawty you want a niggah just tryna keep her,1,you lucky ashit if you got the shawty you want a person just tryna keep her
wyd fag,1,wyd person
rt i have absolutely no hoes,1,rt i have absolutely no people
i m not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup,1,i m not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup
rt what s with all these pussies turning themselves into yu gi oh cards lately,1,rt what s with all these pussies turning themselves into yu gi oh cards lately
yo ugly ass eyes havin ass bitch,1,yo ugly person eyes havin person person
there s no one to flirt with mad bitches in my inbox skrr skrr,1,there s no one to flirt with mad person in my inbox skrr skrr
man kills mother of after she reveals she s hiv positive after having sex that bitch deserved it,1,man kills mother of after she reveals she s hiv positive after having sex that person deserved it
kobe bryant is such a bitch grow up pussy,1,kobe bryant is such a person grow up pussy
too many pretty bitches got the sore throat voice mostly red bones turnoff,1,too many pretty person got the sore throat voice mostly red bones turnoff
rt niggas be in your messages like amp be on twitter like fuck bitches come on nigga which one you gone be drake or,1,rt person be in your messages like amp be on twitter like messing around person come on person which one you gone be drake or
you dammn weed potheads are annoying af on twitter weed and pot are the same thing faggot,0,you dammn weed potheads are annoying af on twitter weed and pot are the same thing person
over bitches trying to act like i own them a picture,1,over person trying to act like i own them a picture
rt whatup wyd b chilling in the square wbu bitch wat u,1,rt whatup wyd b chilling in the square wbu person wat u
always wanted to fuck that bitch thank you god i fucked that bitch,1,always wanted to messing around that person thank you god i messing around that person
watch yo hoe,1,watch yo people
just remember when having standards becomes cool again im gonna call a lot of you out for staying quiet like a bitch all this time,1,just remember when having standards becomes cool again im gonna call a lot of you out for staying quiet like a person all this time
hoes get in this bitch talk about irrelevant shit,1,people get in this person talk about irrelevant stuff
rt no officer i wasn t drunk driving i was swerving on them hoes,1,rt no officer i wasn t drunk driving i was swerving on them people
i can tell from this tweet that you re a twat,1,i can tell from this tweet that you re a twat
why do i have the worst bm in the world smh this bitch the devil,1,why do i have the worst bm in the world smh this person the devil
rt toss em out of office or just throw em in the trash trashbucketchallenge has politicians on the run at,1,rt toss em out of office or just throw em in the trash trashbucketchallenge has politicians on the run at
i love racism blame whitey for everything now that you mention it i bet the white man put the desert tortoise on bundyranch,0,i love racism blame whitey for everything now that you mention it i bet the white man put the desert tortoise on bundyranch
rt bitches tweeting relationship goals w no man job or real desire to stop being a hoe or partying every weekend jus a iph,1,rt person tweeting relationship goals w no man job or real desire to stop being a people or partying every weekend jus a iph
might have to play the b k tonight for my black hoes you know i still care about yal,1,might have to play the b k tonight for my black people you know i still care about yal
rt these hoes be acting up,1,rt these people be acting up
of the washington post to call the president ignorant i ask you racist angry bitter bitch look in the mirror,1,of the washington post to call the president ignorant i ask you racist angry bitter person look in the mirror
rt the ones we really like we can t get but if you got the one you really like then you a lucky bitch,1,rt the ones we really like we can t get but if you got the one you really like then you a lucky person
bitch wake up,1,person wake up
rt nigga when from can i get a hug to i got hoes b,1,rt person when from can i get a hug to i got people b
okc nigguh,1,okc nigguh
rt rt it used to be a shame to be hoe prostitute with social media they call it hustling lol,1,rt rt it used to be a shame to be people prostitute with social media they call it hustling lol
coming to the rescue of some retard licking dirty skidmarks on the internet you guys are fucktards,0,coming to the rescue of some retard licking dirty skidmarks on the internet you guys are fucktards
gay ass nigga bitch you thought you thought,0,gay person person person you thought you thought
rt i m a crazy bitch fml,1,rt i m a crazy person fml
rt actually i take that back you niggas ain t loyal im loyal fam nah negro nah,1,rt actually i take that back you person ain t loyal im loyal fam nah negro nah
fight or nah dumb bitch,1,fight or nah dumb person
niccas be gassing hoes they never gone pop smh prolly never gone meet her wastedenergy,1,niccas be gassing people they never gone pop smh prolly never gone meet her wastedenergy
i copped a uzi but i need some bullets for that bitch,1,i copped a uzi but i need some bullets for that person
fact females that tweet all the dayum day r hoes that need attention ijs wontgetme,1,fact females that tweet all the dayum day r people that need attention ijs wontgetme
rt i only be looking like i m fucking bitches i don t tho,1,rt i only be looking like i m messing around person i don t tho
ayee ayee it s my snow niqqa amp amp it s for my bitches to slide to my crib,1,ayee ayee it s my snow niqqa amp amp it s for my person to slide to my crib
controlled the aux cord the whole two and a half hour drive home and didn t repeat a single song bet your boyfriend couldn t do that bitch,1,controlled the aux cord the whole two and a half hour drive home and didn t repeat a single song bet your boyfriend couldn t do that person
make the most of what you have don t tell me what to do bitch,1,make the most of what you have don t tell me what to do person
rt when you die but a bad bitch walk in yo funeral,1,rt when you die but a bad person walk in yo funeral
rt bitch nigga qualities is all you can provide,1,rt person person qualities is all you can provide
sitting here talking about what u would do or gonna do that s something my bitch does,1,sitting here talking about what u would do or gonna do that s something my person does
rt why y all ain t tell me young thug nails look better then mine lol fckin faggot,1,rt why y all ain t tell me young thug nails look better then mine lol fckin person
whaaaaaat lmaooo that s why i luv u fat bitches cuz y all got some big ole titties and phat booties,1,whaaaaaat lmaooo that s why i luv u fat person cuz y all got some big ole titties and phat booties
lmfao custy bitches be like come on in,1,lmfao custy person be like come on in
watch my twitter bitch,1,watch my twitter person
good girl is worth hoes,1,good girl is worth people
rt listen here bitches cheat on they bitch but be soooooo hurt when they bitch cheat back,1,rt listen here person cheat on they person but be soooooo hurt when they person cheat back
it don t matter where we at this nigga always tryna holla at a bitch where y all at,1,it don t matter where we at this person always tryna holla at a person where y all at
get this nigguh of this streets,1,get this nigguh of this streets
bitches need guidance lol,1,person need guidance lol
my lil cool ass bitch she from northside,1,my lil cool person person she from northside
rt you bitches with a cup boobs need to stop wasting money on bras and just buy some tank tops like the rest of the homies,1,rt you person with a cup boobs need to stop wasting money on bras and just buy some tank tops like the rest of the homies
will you sell that pussy for me,1,will you sell that pussy for me
there s like injuries a game in football shit trash lol,1,there s like injuries a game in football stuff trash lol
rt fuck a nigga and a bitch,1,rt messing around a person and a person
rt lauderdale that s where the hoes at,1,rt lauderdale that s where the people at
i didn t know my nig g eazy had reached a million views on one of his songs haha that s crazy,1,i didn t know my nig g eazy had reached a million views on one of his songs haha that s crazy
fuck olive that bitch,1,messing around olive that person
i swear this is just disgraceful like a bitch line a really be dry all day i ll only get emails from pacsun,1,i swear this is just disgraceful like a person line a really be dry all day i ll only get emails from pacsun
rt half of it will be about how you became ghetto in compton,1,rt half of it will be about how you became ghetto in compton
lost a couple online matches in nhl bitch hit me with her car dad ate my pizza just one of those days,1,lost a couple online matches in nhl person hit me with her car dad ate my pizza just one of those days
rt when i feel like he entertaining these hoes i just fall back even harder than before,1,rt when i feel like he entertaining these people i just fall back even harder than before
rt this bitch possessed by the thot demon,1,rt this person possessed by the thot demon
i only respect bitches that respect theyself truu,1,i only respect person that respect theyself truu
i m not gone see your baby monkey lil ass anyway funky ass,1,i m not gone see your baby monkey lil person anyway funky person
you say no to ratchet pussy juicy j cant,1,you say no to ratchet pussy juicy j cant
if you can t get pussy without lying to a girl you wack don t hate appreciate,1,if you can t get pussy without lying to a girl you wack don t hate appreciate
rt bro even with uno webo i still get more pussy than you,1,rt bro even with uno webo i still get more pussy than you
you re a bitch,1,you re a person
bitch look like she gon blow away fr,1,person look like she gon blow away fr
only yrs till next pres bitches bout what o dumb a left her him,1,only yrs till next pres person bout what o dumb a left her him
im just a young niggah out here chasing ins til im in the driver seat of my benz,1,im just a young person out here chasing ins til im in the driver seat of my benz
been sleeping toooooo much fuck it ima enjoy it before i start working jobs like a hoe haha,1,been sleeping toooooo much messing around it ima enjoy it before i start working jobs like a people haha
rt the only thing that cunt talked about was me crying about the traffic jam knows nothing abou,1,rt the only thing that cunt talked about was me crying about the traffic jam knows nothing abou
i need of the bitches,1,i need of the person
i love you hoe hahahhaa uglyass,1,i love you people hahahhaa uglyass
not to yall thou yalll fucking glad bag trash,1,not to yall thou yalll messing around glad bag trash
rt these bitches so fucking stupid smh,1,rt these person so messing around stupid smh
i like that your room isn t a big sloppy mess like most of these twitter hoes,1,i like that your room isn t a big sloppy mess like most of these twitter people
rt welp rt the prettier bitch usually loses lol this is science,1,rt welp rt the prettier person usually loses lol this is science
smoke summm bitch,1,smoke summm person
you re all faggot fuckheads,0,you re all person fuckheads
busted my lip playing ball so now i can t enjoy pussy and this delicious mango,1,busted my lip playing ball so now i can t enjoy pussy and this delicious mango
i wish people could just be straight up with me don t be a fake bitch to me because i m not a fake bitch to you or anyone actually,1,i wish people could just be straight up with me don t be a fake person to me because i m not a fake person to you or anyone actually
fuck your redskins bitch,1,messing around your redskins person
rt my bitches got pretty pussy,1,rt my person got pretty pussy
money hoes cars and clothes,1,money people cars and clothes
you a hoe if you take a taxi to the club,1,you a people if you take a taxi to the club
you tall tree ass females be talkin bout catching feelings bitch you need to catch this touchdown,1,you tall tree person females be talkin bout catching feelings person you need to catch this touchdown
rt lmaoo bitch what,1,rt lmaoo person what
you bitch like to text emojis,1,you person like to text emojis
rt niggas gossip like hoes i m sleep tho,1,rt person gossip like people i m sleep tho
don t fw sloppy hoes you might catch somethin,1,don t fw sloppy people you might catch somethin
if you don t say thank you after someone holds the door open for you you re a bitch,1,if you don t say thank you after someone holds the door open for you you re a person
we single cuz only hoes are left all the good ones taken lmao lt any female on the tl thats single you a sno bop,1,we single cuz only people are left all the good ones taken lmao lt any female on the tl thats single you a sno bop
yo bitch choosin just let her,1,yo person choosin just let her
my hoes trippin lol,1,my people trippin lol
kae amp chris coming for yall bitches as a couple,1,kae amp chris coming for yall person as a couple
rt i never bought a bitch,1,rt i never bought a person
obama is a bitch his speech was pure politics for mid terms only way we destroy isis is with troops on the ground,1,obama is a person his speech was pure politics for mid terms only way we destroy isis is with troops on the ground
idk where this nigga jus went but he better find me some food before i become a real life bitch,1,idk where this person jus went but he better find me some food before i become a real life person
nice pussy,1,nice pussy
didn t i just say i thought u told me to delete them so i deleted them bitch,1,didn t i just say i thought u told me to delete them so i deleted them person
rt i hate a dumb bitch,1,rt i hate a dumb person
wow the whiggers at the tea party nation banned me i didn t even use any bad words maybe my racist founding father quotes did it,1,wow the whiggers at the tea party nation banned me i didn t even use any bad words maybe my racist founding father quotes did it
do your dick hang low do it wobble to and fro can you tie it in a knot can you stick it in a hoe,1,do your dick hang low do it wobble to and fro can you tie it in a knot can you stick it in a people
my god mother thinks im a stoner because she has someone watch my tweets lmfao no ya boy clean as nikki minaj pussy,1,my god mother thinks im a stoner because she has someone watch my tweets lmfao no ya boy clean as nikki minaj pussy
stupid bitch,1,stupid person
holy fuck they some bomb ass bitches at buc ee s,1,holy messing around they some bomb person person at buc ee s
my manager is retarded bruh always asking siri some spellings this nigga is dum af doe,1,my manager is retarded bruh always asking siri some spellings this person is dum af doe
the solution is simple buy a bitch,1,the solution is simple buy a person
gave that bitch an e pill bitches love fucking wit they ex,1,gave that person an e pill person love messing around wit they ex
stop being a pussy,1,stop being a pussy
nawwww if you a hoe you sittin on the floor and not my damn couuuuuch but your birthday is in feb or naa nope,1,nawwww if you a people you sittin on the floor and not my damn couuuuuch but your birthday is in feb or naa nope
dudes shaving without it being for an athletic purpose is gay af you re retarded,0,dudes shaving without it being for an athletic purpose is gay af you re retarded
bitch in the middle look like a daddy long leg,1,person in the middle look like a daddy long leg
ya bitch aint bad nigga u aint got no taste,1,ya person aint bad person u aint got no taste
give them bitches good head i can assure you they will be back,1,give them person good head i can assure you they will be back
rt everybody turning into assholes this year look what you ve bitches have done to us,1,rt everybody turning into assholes this year look what you ve person have done to us
julius peppers still seems retarded,1,julius peppers still seems retarded
rt don t curve the man today in whom you may need to eat your pussy tomorrow,1,rt don t curve the man today in whom you may need to eat your pussy tomorrow
i hate a wishy washy bitch,1,i hate a wishy washy person
rt i want a real relationship no games no lies no side hoes just me and you,1,rt i want a real relationship no games no lies no side people just me and you
bitch u lame as fuk lol,1,person u lame as fuk lol
rt wake up you dumb son of a bitch,1,rt wake up you dumb son of a person
rt look at this faggot,0,rt look at this person
abed looks like he has to take a shit bro pic brolic boyswhotakepicsinsuits tie swag hoes on us,1,abed looks like he has to take a stuff bro pic brolic boyswhotakepicsinsuits tie swag people on us
work nigga fuck work it s friday bitches fuck friday all about saturday tomorrow will be epic,1,work person messing around work it s friday person messing around friday all about saturday tomorrow will be epic
rt lame bitches always wanna try play a real nigga like a lame bitch das how u get treated n cut loose,1,rt lame person always wanna try play a real person like a lame person das how u get treated n cut loose
jet lag a bitch,1,jet lag a person
slid bitch,1,slid person
i remember them bitches lmaoo,1,i remember them person lmaoo
the truth hurts nigguh,1,the truth hurts nigguh
rt she s a sapiosexual i had a jimmy neutron brain blast showed her i m an intellectual and put the pussy on the chainwax,1,rt she s a sapiosexual i had a jimmy neutron brain blast showed her i m an intellectual and put the pussy on the chainwax
rt phat pussy is the best pussy,1,rt phat pussy is the best pussy
rt y all boyz was fried fuck dat pussy nigga in the blue doe,1,rt y all boyz was fried messing around dat pussy person in the blue doe
rt when you eat the pussy so good she can t control her moans,1,rt when you eat the pussy so good she can t control her moans
thank god fob didnt come back doing some shitty arena tour iwaited yearsforfobandiallgotwasthisshittyarena sykeeee,1,thank god fob didnt come back doing some shitty arena tour iwaited yearsforfobandiallgotwasthisshittyarena sykeeee
rt ugly hoes be the loudest u need to duck off amp hide yourself frfr,1,rt ugly people be the loudest u need to duck off amp hide yourself frfr
lol always with the complaining and crying just like when jeezy broke up with you cause your a moaning old bitch,1,lol always with the complaining and crying just like when jeezy broke up with you cause your a moaning old person
i ve been knowing fag,0,i ve been knowing person
ion know why this bitch insists on telling me where she be going now idgaf about chu bitch like damn,1,ion know why this person insists on telling me where she be going now idgaf about chu person like damn
the only place for a ho in the garden,1,the only place for a ho in the garden
you call someone a faggot and then say to kill themselves you are a pathetic human being a fucking disgrace,0,you call someone a person and then say to kill themselves you are a pathetic human being a messing around disgrace
not that it s tit for tat but we don t say shit to our boy just like you don t check that insufferable bitch you call a best friend,1,not that it s tit for tat but we don t say stuff to our boy just like you don t check that insufferable person you call a best friend
fuck wit us and we tweakin hoe,1,messing around wit us and we tweakin people
girls be like i love you babe lt bitch isn t that today,1,girls be like i love you babe lt person isn t that today
rt resisting the urge to smack a bitch,1,rt resisting the urge to smack a person
searching the incredible story of white man s quest to find the ingredients necessary to make caribbean jerked chicken in redneck land,1,searching the incredible story of white man s quest to find the ingredients necessary to make caribbean jerked chicken in redneck land
i really committed to fucking with the richest of bitches,1,i really committed to messing around with the richest of person
nah they would probably call you out for being the obsessed faggot you are also nice try though,1,nah they would probably call you out for being the obsessed person you are also nice try though
ugh like i hate when my momma get to talking all proper like bitch stfu,1,ugh like i hate when my momma get to talking all proper like person stfu
lol that s basically like the you got too many hoes curve,1,lol that s basically like the you got too many people curve
